"","id","attack","health","cost","name","rarity","set","type","collectible","text","race","spellDamage","durability","overload","cardClass","patch_num","meta1","meta2","meta3","meta4","meta5","meta6","meta7","meta8","meta_num","how","what","invariate","atk_over_hp","has_power"
"1","BT_002",NA,NA,2,"Incanter's Flow","COMMON","AOO","SPELL",TRUE,"Reduce the Cost of spells in your deck by (1).",NA,NA,NA,NA,"MAGE","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,NA,NA,NA,"Other"
"2","BT_003",NA,NA,3,"Netherwind Portal","COMMON","AOO","SPELL",TRUE,"<b>Secret:</b> After your opponent casts a spell, summon a random
4-Cost minion.",NA,NA,NA,NA,"MAGE","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","One_or_More_Trigger","Summon",NA,NA,"Other"
"3","BT_004",4,5,3,"Imprisoned Observer","RARE","AOO","MINION",TRUE,"<b>Dormant</b> for 2 turns.
When this awakens,
deal 2 damage to all
enemy minions.","DEMON",NA,NA,NA,"MAGE","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","One_or_More_Trigger","Deal",NA,"ATK<HP","Other"
"4","BT_006",NA,NA,1,"Evocation","LEGENDARY","AOO","SPELL",TRUE,"Fill your hand with random Mage spells.
At the end of your turn, discard them.",NA,NA,NA,NA,"MAGE","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Multi_Trigger",NA,NA,NA,"Other"
"5","BT_008",2,2,2,"Rustsworn Initiate","COMMON","AOO","MINION",TRUE,"<b>Deathrattle:</b> Summon a 1/1 Impcaster with
<b>Spell Damage +1</b>.",NA,NA,NA,NA,"NEUTRAL","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Deathrattle","Summon",NA,"EQUAL","Other"
"6","BT_009",2,1,1,"Imprisoned Sungill","RARE","AOO","MINION",TRUE,"<b>Dormant</b> for 2 turns.
When this awakens, summon two 1/1
Murlocs.","MURLOC",NA,NA,NA,"PALADIN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","One_or_More_Trigger","Summon",NA,"ATK>HP","Other"
"7","BT_010",4,4,4,"Felfin Navigator","COMMON","AOO","MINION",TRUE,"<b>Battlecry:</b> Give your other Murlocs +1/+1.","MURLOC",NA,NA,NA,"NEUTRAL","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Battlecry","Give",NA,"EQUAL","Other"
"8","BT_011",NA,NA,5,"Libram of Justice","COMMON","AOO","SPELL",TRUE,"Equip a 1/4 weapon. Change the Health of all enemy minions to 1.",NA,NA,NA,NA,"PALADIN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8",NA,NA,NA,NA,"Other"
"9","BT_014",3,1,2,"Starscryer","COMMON","AOO","MINION",TRUE,"<b>Deathrattle:</b> Draw a spell.",NA,NA,NA,NA,"MAGE","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","Deathrattle","Draw",NA,"ATK>HP","Other"
"10","BT_018",3,NA,3,"Underlight Angling Rod","EPIC","AOO","WEAPON",TRUE,"After your Hero attacks, add a random Murloc to your hand.",NA,NA,2,NA,"PALADIN","51510",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"meta8","One_or_More_Trigger","Add",NA,NA,"Other"
